case_date,charges_f,charges_m,ucr,offense_type,charges_fm,monthly_incidents,monthly_theft,monthly_retail_theft_arrest,total_charges,Value,PRCP,TAVG
2014-01-01,306.0,485.0,{'charge_slug': '54-retail-theft'},retail theft,791.0,20056.0,4448.0,527.0,,9.2,3.02,14.2
2014-02-01,206.0,385.0,{'charge_slug': '54-retail-theft'},retail theft,591.0,18034.0,4017.0,519.0,,9.2,2.72,16.7
2014-03-01,269.0,423.0,{'charge_slug': '54-retail-theft'},retail theft,692.0,22191.0,4516.0,593.0,,8.5,1.35,29.1
2014-04-01,290.0,481.0,{'charge_slug': '54-retail-theft'},retail theft,771.0,22929.0,4835.0,615.0,,7.6,2.89,46.3
2014-05-01,274.0,503.0,{'charge_slug': '54-retail-theft'},retail theft,777.0,24868.0,5352.0,671.0,1940.0,7.6,7.09,58.3
2014-06-01,289.0,520.0,{'charge_slug': '54-retail-theft'},retail theft,809.0,25452.0,5839.0,628.0,1941.0,7.8,5.88,67.1
2014-07-01,257.0,587.0,{'charge_slug': '54-retail-theft'},retail theft,844.0,26571.0,6336.0,706.0,1979.0,7.7,4.27,69.2
2014-08-01,262.0,555.0,{'charge_slug': '54-retail-theft'},retail theft,817.0,25894.0,5885.0,645.0,1916.0,7.4,4.8,71.5
2014-09-01,276.0,610.0,{'charge_slug': '54-retail-theft'},retail theft,886.0,23905.0,5486.0,632.0,1831.0,6.8,2.87,63.0
2014-10-01,282.0,523.0,{'charge_slug': '54-retail-theft'},retail theft,805.0,24002.0,5562.0,683.0,1850.0,6.7,5.14,51.5
2014-11-01,256.0,456.0,{'charge_slug': '54-retail-theft'},retail theft,712.0,20775.0,4540.0,546.0,1658.0,6.4,1.57,34.0
2014-12-01,282.0,630.0,{'charge_slug': '54-retail-theft'},retail theft,912.0,20981.0,4750.0,658.0,1630.0,6.1,0.86,33.0
2015-01-01,282.0,576.0,{'charge_slug': '54-retail-theft'},retail theft,858.0,20939.0,4407.0,585.0,1811.0,7.2,1.45,21.9
2015-02-01,272.0,363.0,{'charge_slug': '54-retail-theft'},retail theft,635.0,16395.0,3228.0,477.0,1532.0,6.9,1.7,15.7
2015-03-01,253.0,493.0,{'charge_slug': '54-retail-theft'},retail theft,746.0,21679.0,4274.0,567.0,1769.0,6.4,1.08,34.2
2015-04-01,255.0,456.0,{'charge_slug': '54-retail-theft'},retail theft,711.0,21724.0,4528.0,539.0,1660.0,6.3,3.2,48.2
2015-05-01,223.0,427.0,{'charge_slug': '54-retail-theft'},retail theft,650.0,23704.0,4941.0,602.0,1785.0,6.3,4.22,60.2
2015-06-01,237.0,531.0,{'charge_slug': '54-retail-theft'},retail theft,768.0,23181.0,5015.0,571.0,1672.0,6.7,5.21,65.4
2015-07-01,258.0,538.0,{'charge_slug': '54-retail-theft'},retail theft,796.0,24230.0,5398.0,620.0,1918.0,6.5,3.41,70.7
2015-08-01,258.0,499.0,{'charge_slug': '54-retail-theft'},retail theft,757.0,24815.0,5628.0,573.0,1840.0,6.1,4.97,71.6
2015-09-01,268.0,448.0,{'charge_slug': '54-retail-theft'},retail theft,716.0,23120.0,5180.0,561.0,1853.0,5.6,4.74,68.9
2015-10-01,247.0,570.0,{'charge_slug': '54-retail-theft'},retail theft,817.0,23092.0,5154.0,595.0,1788.0,5.8,1.66,54.1
2015-11-01,227.0,469.0,{'charge_slug': '54-retail-theft'},retail theft,696.0,20586.0,4567.0,520.0,1562.0,5.9,4.72,44.7
2015-12-01,284.0,635.0,{'charge_slug': '54-retail-theft'},retail theft,919.0,21144.0,5027.0,565.0,1514.0,6.0,5.4,39.7
2016-01-01,236.0,524.0,{'charge_slug': '54-retail-theft'},retail theft,760.0,20734.0,4486.0,575.0,1502.0,6.9,0.72,24.1
2016-02-01,256.0,506.0,{'charge_slug': '54-retail-theft'},retail theft,762.0,18742.0,4006.0,499.0,1621.0,6.8,1.21,30.4
2016-03-01,229.0,547.0,{'charge_slug': '54-retail-theft'},retail theft,776.0,22048.0,4661.0,550.0,1691.0,6.6,2.46,41.9
2016-04-01,227.0,516.0,{'charge_slug': '54-retail-theft'},retail theft,743.0,21168.0,4595.0,575.0,1628.0,6.6,2.63,45.8
2016-05-01,258.0,539.0,{'charge_slug': '54-retail-theft'},retail theft,797.0,23546.0,5047.0,623.0,1807.0,5.9,5.85,57.7
2016-06-01,262.0,585.0,{'charge_slug': '54-retail-theft'},retail theft,847.0,24070.0,5359.0,552.0,1652.0,6.5,3.57,70.2
2016-07-01,219.0,414.0,{'charge_slug': '54-retail-theft'},retail theft,633.0,24852.0,5821.0,498.0,1554.0,6.3,5.75,74.9
2016-08-01,219.0,561.0,{'charge_slug': '54-retail-theft'},retail theft,780.0,24914.0,6004.0,561.0,1639.0,6.1,4.27,75.4
