,case_date,charges_f,charges_m,ucr,offense_type,charges_fm
0,2000-01-01,0.0,80,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,80.0
1,2000-01-01,269.0,1096,{'charge_slug': '54-retail-theft'},retail theft,1365.0
2,2000-01-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
3,2000-01-01,0.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
4,2000-01-01,86.0,332,{'charge_slug': '58-theft-from-building'},theft from building,418.0
5,2000-02-01,135.0,308,{'charge_slug': '58-theft-from-building'},theft from building,443.0
6,2000-02-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
7,2000-02-01,0.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
8,2000-02-01,1.0,91,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,92.0
9,2000-02-01,240.0,1042,{'charge_slug': '54-retail-theft'},retail theft,1282.0
10,2000-03-01,261.0,1386,{'charge_slug': '54-retail-theft'},retail theft,1647.0
11,2000-03-01,122.0,403,{'charge_slug': '58-theft-from-building'},theft from building,525.0
12,2000-03-01,0.0,4,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,4.0
13,2000-03-01,1.0,112,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,113.0
14,2000-03-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
15,2000-04-01,0.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,1.0
16,2000-04-01,111.0,308,{'charge_slug': '58-theft-from-building'},theft from building,419.0
17,2000-04-01,0.0,83,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,83.0
18,2000-04-01,206.0,1115,{'charge_slug': '54-retail-theft'},retail theft,1321.0
19,2000-04-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
20,2000-05-01,0.0,109,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,109.0
21,2000-05-01,118.0,329,{'charge_slug': '58-theft-from-building'},theft from building,447.0
22,2000-05-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
23,2000-05-01,3.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,5.0
24,2000-05-01,220.0,1406,{'charge_slug': '54-retail-theft'},retail theft,1626.0
25,2000-06-01,221.0,1470,{'charge_slug': '54-retail-theft'},retail theft,1691.0
26,2000-06-01,1.0,121,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,122.0
27,2000-06-01,0.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
28,2000-06-01,171.0,414,{'charge_slug': '58-theft-from-building'},theft from building,585.0
29,2000-06-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
30,2000-07-01,0.0,5,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,5.0
31,2000-07-01,251.0,1261,{'charge_slug': '54-retail-theft'},retail theft,1512.0
32,2000-07-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
33,2000-07-01,0.0,123,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,123.0
