,Series ID,Year,Period,Label,Value,month,month_dt
0,LAUCN170310000000003,2000,M01,2000 Jan,5.1,1,2000-01-01
1,LAUCN170310000000003,2000,M02,2000 Feb,5.1,2,2000-02-01
2,LAUCN170310000000003,2000,M03,2000 Mar,5.2,3,2000-03-01
3,LAUCN170310000000003,2000,M04,2000 Apr,4.8,4,2000-04-01
4,LAUCN170310000000003,2000,M05,2000 May,4.8,5,2000-05-01
5,LAUCN170310000000003,2000,M06,2000 Jun,5.3,6,2000-06-01
6,LAUCN170310000000003,2000,M07,2000 Jul,5.2,7,2000-07-01
7,LAUCN170310000000003,2000,M08,2000 Aug,4.8,8,2000-08-01
8,LAUCN170310000000003,2000,M09,2000 Sep,4.6,9,2000-09-01
9,LAUCN170310000000003,2000,M10,2000 Oct,4.3,10,2000-10-01
10,LAUCN170310000000003,2000,M11,2000 Nov,4.7,11,2000-11-01
11,LAUCN170310000000003,2000,M12,2000 Dec,5.0,12,2000-12-01
12,LAUCN170310000000003,2001,M01,2001 Jan,5.9,1,2001-01-01
13,LAUCN170310000000003,2001,M02,2001 Feb,6.0,2,2001-02-01
14,LAUCN170310000000003,2001,M03,2001 Mar,6.2,3,2001-03-01
15,LAUCN170310000000003,2001,M04,2001 Apr,6.2,4,2001-04-01
16,LAUCN170310000000003,2001,M05,2001 May,5.7,5,2001-05-01
17,LAUCN170310000000003,2001,M06,2001 Jun,6.5,6,2001-06-01
18,LAUCN170310000000003,2001,M07,2001 Jul,6.1,7,2001-07-01
19,LAUCN170310000000003,2001,M08,2001 Aug,6.3,8,2001-08-01
20,LAUCN170310000000003,2001,M09,2001 Sep,6.0,9,2001-09-01
21,LAUCN170310000000003,2001,M10,2001 Oct,6.2,10,2001-10-01
22,LAUCN170310000000003,2001,M11,2001 Nov,6.4,11,2001-11-01
23,LAUCN170310000000003,2001,M12,2001 Dec,6.6,12,2001-12-01
24,LAUCN170310000000003,2002,M01,2002 Jan,7.8,1,2002-01-01
25,LAUCN170310000000003,2002,M02,2002 Feb,7.6,2,2002-02-01
26,LAUCN170310000000003,2002,M03,2002 Mar,7.7,3,2002-03-01
27,LAUCN170310000000003,2002,M04,2002 Apr,7.8,4,2002-04-01
28,LAUCN170310000000003,2002,M05,2002 May,7.5,5,2002-05-01
29,LAUCN170310000000003,2002,M06,2002 Jun,8.3,6,2002-06-01
30,LAUCN170310000000003,2002,M07,2002 Jul,8.2,7,2002-07-01
31,LAUCN170310000000003,2002,M08,2002 Aug,7.7,8,2002-08-01
32,LAUCN170310000000003,2002,M09,2002 Sep,7.2,9,2002-09-01
33,LAUCN170310000000003,2002,M10,2002 Oct,7.5,10,2002-10-01
34,LAUCN170310000000003,2002,M11,2002 Nov,7.5,11,2002-11-01
35,LAUCN170310000000003,2002,M12,2002 Dec,7.3,12,2002-12-01
36,LAUCN170310000000003,2003,M01,2003 Jan,8.0,1,2003-01-01
37,LAUCN170310000000003,2003,M02,2003 Feb,7.7,2,2003-02-01
38,LAUCN170310000000003,2003,M03,2003 Mar,7.4,3,2003-03-01
39,LAUCN170310000000003,2003,M04,2003 Apr,7.3,4,2003-04-01
40,LAUCN170310000000003,2003,M05,2003 May,7.3,5,2003-05-01
41,LAUCN170310000000003,2003,M06,2003 Jun,8.3,6,2003-06-01
42,LAUCN170310000000003,2003,M07,2003 Jul,7.8,7,2003-07-01
43,LAUCN170310000000003,2003,M08,2003 Aug,7.8,8,2003-08-01
44,LAUCN170310000000003,2003,M09,2003 Sep,7.5,9,2003-09-01
45,LAUCN170310000000003,2003,M10,2003 Oct,7.0,10,2003-10-01
46,LAUCN170310000000003,2003,M11,2003 Nov,6.8,11,2003-11-01
47,LAUCN170310000000003,2003,M12,2003 Dec,6.4,12,2003-12-01
48,LAUCN170310000000003,2004,M01,2004 Jan,7.3,1,2004-01-01
49,LAUCN170310000000003,2004,M02,2004 Feb,6.9,2,2004-02-01
50,LAUCN170310000000003,2004,M03,2004 Mar,7.0,3,2004-03-01
51,LAUCN170310000000003,2004,M04,2004 Apr,6.9,4,2004-04-01
52,LAUCN170310000000003,2004,M05,2004 May,6.8,5,2004-05-01
53,LAUCN170310000000003,2004,M06,2004 Jun,7.2,6,2004-06-01
54,LAUCN170310000000003,2004,M07,2004 Jul,7.0,7,2004-07-01
55,LAUCN170310000000003,2004,M08,2004 Aug,6.8,8,2004-08-01
