"STATION","NAME","DATE","PRCP","TAVG"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-01","1.54","25.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-02","1.69","33.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-03","1.28","44.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-04","4.66","46.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-05","4.37","60.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-06","5.27","67.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-07","3.93","70.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-08","2.53","72.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-09","6.03","64.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-10","2.01","56.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-11","3.05","39.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-12","2.71","18.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-01","1.06","26.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-02","2.52","26.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-03","1.59","34.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-04","3.52","51.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-05","4.77","60.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-06","3.95","66.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-07","2.66","73.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-08","8.77","73.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-09","5.27","62.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-10","8.20","52.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-11","1.35","48.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-12","1.15","34.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-01","1.46","31.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-02","1.12","33.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-03","2.50","34.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-04","3.19","48.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-05","4.20","53.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-06","3.69","69.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-07","1.43","75.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-08","8.12","73.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-09","3.40","66.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-10","1.61","50.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-11","1.68","38.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-12","1.29","30.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-01","0.42","20.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-02","0.15","22.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-03","1.86","36.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-04","2.54","45.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-05","6.84","53.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-06","1.18","63.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-07","5.13","71.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-08","1.20","73.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-09","2.02","63.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-10","2.03","51.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-11","5.59","42.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-12","1.91","32.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2004-01","1.13","20.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2004-02","0.89","26.7"
