,STATION,NAME,DATE,PRCP,TAVG,year,month,month_dt
0,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2000-01,1.54,25.5,2000,1,2000-01-01
1,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2000-02,1.69,33.7,2000,2,2000-02-01
2,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2000-03,1.28,44.0,2000,3,2000-03-01
3,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2000-04,4.66,46.3,2000,4,2000-04-01
4,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2000-05,4.37,60.9,2000,5,2000-05-01
5,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2000-06,5.27,67.3,2000,6,2000-06-01
6,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2000-07,3.93,70.1,2000,7,2000-07-01
7,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2000-08,2.53,72.0,2000,8,2000-08-01
8,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2000-09,6.03,64.8,2000,9,2000-09-01
9,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2000-10,2.01,56.4,2000,10,2000-10-01
10,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2000-11,3.05,39.1,2000,11,2000-11-01
11,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2000-12,2.71,18.0,2000,12,2000-12-01
12,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2001-01,1.06,26.0,2001,1,2001-01-01
13,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2001-02,2.52,26.9,2001,2,2001-02-01
14,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2001-03,1.59,34.0,2001,3,2001-03-01
15,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2001-04,3.52,51.0,2001,4,2001-04-01
16,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2001-05,4.77,60.2,2001,5,2001-05-01
17,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2001-06,3.95,66.3,2001,6,2001-06-01
